Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_lbs,Price,Agrupamiento de precios,Pantalla-Full_HD,Pantalla-IPS_panel
Acer,4,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,978,Bajo,0,1
Dell,3,1,1,3,15.600000000000001,0.6896551724137931,4,256,4.851000000000001,634,Bajo,1,0
Dell,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,4.851000000000001,946,Bajo,1,0
Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,128,2.6901,1244,Bajo,0,1
HP,4,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.21155,837,Bajo,1,0
Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.851000000000001,1016,Bajo,1,0
HP,3,3,1,5,15.600000000000001,0.5517241379310345,8,256,4.6305000000000005,1117,Bajo,1,0
Acer,3,2,1,5,15.0,0.5517241379310345,4,256,4.851000000000001,866,Bajo,0,1
Dell,3,1,1,5,15.600000000000001,0.8620689655172414,4,256,5.0714999999999995,812,Bajo,1,0
Acer,3,3,1,7,15.0,0.6206896551724138,8,256,4.851000000000001,1068,Bajo,0,1
Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.69665,975,Bajo,1,0
HP,3,2,1,3,15.600000000000001,0.6896551724137931,4,128,4.21155,558,Bajo,1,0
Asus,3,2,2,3,15.600000000000001,0.6896551724137931,4,256,4.41,527,Bajo,1,0
Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.7485,1117,Bajo,1,0
Asus,3,2,1,5,14.0,0.5517241379310345,8,256,3.0869999999999997,1195,Bajo,1,0
HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.1013,876,Bajo,1,0
Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1213,Bajo,0,1
Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.851000000000001,1105,Bajo,1,0
Dell,4,2,1,5,15.0,0.5517241379310345,8,256,4.1453999999999995,1392,Bajo,0,1
HP,3,2,1,5,14.0,0.5517241379310345,8,256,3.59415,1092,Bajo,1,0
HP,4,3,1,7,15.0,0.6206896551724138,8,256,4.035150000000001,888,Bajo,0,1
HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.3218,761,Bajo,1,0
Dell,4,2,1,7,13.000000000000002,0.6206896551724138,8,256,2.66805,2095,Medio,0,1
Dell,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.84325,1518,Bajo,1,0
Asus,4,2,1,7,14.0,0.9310344827586208,8,256,2.75625,1333,Bajo,1,0
Dell,3,1,2,3,15.600000000000001,0.6896551724137931,4,256,4.851000000000001,616,Bajo,1,0
Asus,3,3,1,3,15.600000000000001,0.8275862068965517,6,256,4.41,733,Bajo,1,0
HP,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,4.21155,913,Bajo,1,0
HP,4,3,1,7,13.000000000000002,0.9310344827586208,8,256,3.0429,1421,Bajo,0,1
HP,3,3,1,5,14.0,0.8620689655172414,6,256,4.106221030042918,837,Bajo,0,1
Asus,4,3,1,7,14.0,0.9310344827586208,8,256,2.8665000000000003,1515,Bajo,0,1
Lenovo,3,2,1,7,14.0,0.9310344827586208,8,256,3.4839,1880,Medio,0,1
Dell,4,2,1,5,13.000000000000002,0.5517241379310345,8,256,2.66805,2069,Medio,0,1
Asus,3,3,1,7,15.600000000000001,0.6206896551724138,8,256,3.7485,1420,Bajo,1,0
HP,3,2,1,5,17.3,0.5517241379310345,8,256,5.5125,1179,Bajo,1,0
Acer,4,2,1,7,14.0,0.6206896551724138,8,256,3.5280000000000005,1123,Bajo,0,1
Acer,3,3,1,3,15.600000000000001,0.9310344827586208,4,256,4.851000000000001,727,Bajo,1,0
HP,3,2,1,7,14.0,0.6206896551724138,8,256,3.59415,1255,Bajo,1,0
HP,3,2,1,5,13.000000000000002,0.8620689655172414,4,256,4.106221030042918,888,Bajo,0,1
Lenovo,3,1,1,5,14.0,0.5517241379310345,8,256,3.85875,1418,Bajo,0,1
Asus,4,2,1,7,14.0,0.6206896551724138,8,256,2.75625,1396,Bajo,1,0
HP,4,2,1,5,14.0,0.9310344827586208,4,256,3.2634,1374,Bajo,1,0
HP,3,1,1,5,15.600000000000001,0.5517241379310345,6,256,4.21155,786,Bajo,1,0
